pollutant,n_rows,spike_threshold_99pctile,residual_mad_threshold,residual_precision_vs_spike,residual_recall_vs_spike,residual_avg_precision,iso_precision_vs_spike,iso_recall_vs_spike,iso_avg_precision
CO(GT),7674,6.8,0.21449999999999986,0.026913875598086126,0.6338028169014085,0.07891024210782498,0.1889400921658986,0.5774647887323944,0.26334609974075873
NOx(GT),7718,1000.8299999999999,29.257499999999993,0.02615311459819306,0.7051282051282052,0.10457833340773576,0.09417040358744394,0.2692307692307692,0.07178895114403476
NO2(GT),7715,245.85999999999967,14.08499999999998,0.04279279279279279,0.9743589743589743,0.5690997038545638,0.04417670682730924,0.14102564102564102,0.026362375285547482
C6H6(GT),8991,34.31000000000003,0.002999999999907743,0.028911018310311596,1.0,0.3482171484788294,0.14532019704433496,0.6555555555555556,0.21028353874584751
